Date,Con,Lab,LD,UKIP,Green
05/07/1945,39.3,48.8,9.2,0,0
23/02/1950,43,46.8,9.3,0,0
25/10/1951,47.8,49.4,2.6,0,0
26/05/1955,49.3,47.4,2.8,0,0
08/10/1959,48.8,44.6,6,0,0
15/10/1964,42.9,44.8,11.4,0,0
31/03/1966,41.4,48.8,8.6,0,0
18/06/1970,46.2,43.8,7.6,0,0
28/02/1974,38.6,38,19.8,0,0
10/10/1974,36.6,40.2,18.8,0,0
30/05/1979,44.9,37.7,14.1,0,0
09/06/1983,43.5,28.3,26,0,0
11/06/1987,43.3,31.5,23.1,0,0
09/04/1992,42.8,35.2,18.3,0,0
01/05/1997,31,44,17,0,0
07/06/2001,32.7,42,18.8,0,0
05/05/2005,33.2,36.2,22.6,0,0
06/05/2010,36.9,29.7,23.6,2.3,1
07/05/2015,37.7,31.2,8.1,12.9,3.8
08/06/2017,42.4,40.0,7.4,1.8,1.6

