Date,Con,Lab,LD,UKIP,Green
1935-11-14,True,False,False,False,False
1945-07-05,False,True,False,False,False
1950-02-23,False,True,False,False,False
1951-10-25,True,False,False,False,False
1955-05-26,True,False,False,False,False
1959-10-08,True,False,False,False,False
1964-10-15,False,True,False,False,False
1966-03-31,False,True,False,False,False
1970-06-18,True,False,False,False,False
1974-02-28,False,True,False,False,False
1974-10-10,False,True,False,False,False
1979-05-30,True,False,False,False,False
1983-06-09,True,False,False,False,False
1987-06-11,True,False,False,False,False
1992-04-09,True,False,False,False,False
1997-05-01,False,True,False,False,False
2001-06-07,False,True,False,False,False
2005-05-05,False,True,False,False,False
2010-05-06,True,False,True,False,False
2015-05-07,True,False,False,False,False
